time,temperature_2m_C,relative_humidity_2m_pct,dew_point_2m_C,apparent_temperature_C,precipitation_mm,rain_mm,snowfall_cm,snow_depth_m,soil_temperature_0_to_7cm_C,soil_temperature_7_to_28cm_C,soil_temperature_28_to_100cm_C,soil_temperature_100_to_255cm_C,soil_moisture_0_to_7cm_m3pm3,soil_moisture_7_to_28cm_m3pm3,soil_moisture_28_to_100cm_m3pm3,soil_moisture_100_to_255cm_m3pm3,vapour_pressure_deficit_kPa,et0_fao_evapotranspiration_mm,cloud_cover_high_pct,cloud_cover_mid_pct,cloud_cover_low_pct,cloud_cover_pct,surface_pressure_hPa,pressure_msl_hPa,weather_code_wmo code,wind_speed_10m_kmph,wind_speed_100m_kmph,wind_direction_10m_deg,wind_gusts_10m_kmph,wind_direction_100m_deg,total_column_integrated_water_vapour_kgpm2,wet_bulb_temperature_2m_C,boundary_layer_height_m,is_day_,sunshine_duration_s,shortwave_radiation_Wpm2,diffuse_radiation_Wpm2,global_tilted_irradiance_Wpm2,shortwave_radiation_instant_Wpm2,diffuse_radiation_instant_Wpm2,terrestrial_radiation_instant_Wpm2,direct_normal_irradiance_instant_Wpm2,direct_radiation_instant_Wpm2,terrestrial_radiation_Wpm2,direct_normal_irradiance_Wpm2,direct_radiation_Wpm2
2020-01-01T00:00,4.2,77,0.5,-0.4,0,0,0,0,4.1,4.8,6,11,0.411,0.415,0.416,0.388,0.19,0.02,0,53,8,54,997.9,1004.2,2,17.4,29.1,276,27.4,278,10,2.1,635,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T01:00,3,74,-1.2,-1.9,0,0,0,0,3.7,4.7,6,11,0.41,0.414,0.416,0.388,0.2,0.02,0,4,0,4,998.2,1004.5,0,17.7,31.1,274,29.2,276,9.6,0.7,670,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T02:00,1.8,76,-1.9,-3,0,0,0,0,3.2,4.7,6,11,0.41,0.414,0.416,0.388,0.16,0.02,0,0,0,0,998.1,1004.4,0,16.6,31,270,29.2,273,9.1,-0.2,705,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T03:00,1.3,79,-1.9,-3.5,0,0,0,0,2.8,4.6,6,11,0.409,0.414,0.416,0.388,0.14,0.01,0,0,0,0,998.5,1004.9,0,16.6,30.6,269,27.7,273,8.6,-0.5,775,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T04:00,1,77,-2.6,-4.3,0,0,0,0,2.4,4.4,6,11,0.409,0.414,0.416,0.388,0.15,0.02,11,0,0,11,998.8,1005.2,0,18.7,33.1,269,31.7,272,8.5,-1,790,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T05:00,0.6,76,-3.1,-4.5,0,0,0,0,2.2,4.3,6,11,0.409,0.413,0.416,0.388,0.15,0.02,71,0,0,71,998.8,1005.2,2,17.3,31.4,265,31.3,267,8.3,-1.3,710,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T06:00,0.7,70,-4.2,-4.6,0,0,0,0,2,4.2,6,11,0.408,0.413,0.415,0.388,0.19,0.03,90,0,0,90,999,1005.4,3,17.7,31,268,29.9,270,7.7,-1.7,690,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T07:00,0.4,65,-5.4,-4.9,0,0,0,0,1.9,4.1,6,11,0.408,0.413,0.415,0.388,0.22,0.03,37,0,0,37,999.5,1005.9,1,16.9,29.9,268,29.9,271,7.3,-2.3,445,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T08:00,1.3,71,-3.3,-3.4,0,0,0,0,4.5,4.1,6,11,0.41,0.415,0.417,0.388,0.19,0.02,0,97,63,0,1000.2,1006.6,0,14.2,26,261,28.8,265,6.9,-1.1,445,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T09:00,1.7,63,-4.5,-3.2,0,0,0,0,3.8,4.1,6,11,0.41,0.414,0.416,0.389,0.25,0.04,0,81,52,84,1000.6,1007,3,15.3,24.9,261,24.5,266,6.3,-1.2,495,1,0,9,7,9,20.9,16.2,134.6,27,4.6,58.1,23.8,2
2020-01-01T10:00,2.6,54,-5.9,-2.8,0,0,0,0,3.7,4.1,6,11,0.409,0.414,0.416,0.389,0.34,0.07,0,31,51,53,1001.4,1007.7,2,17.2,25.7,260,28.1,264,6.1,-1.1,905,1,0,72,62,72,101.6,87.5,338.5,83.1,14.1,240,58.9,10
2020-01-01T11:00,3.3,48,-6.8,-3.3,0,0,0,0,4.1,4.2,6,11,0.408,0.414,0.416,0.389,0.41,0.12,0,11,50,51,1002,1008.3,2,24.8,34.2,269,42.1,271,6.3,-0.8,1585,1,3600,249,93,249,292.6,109.3,494.9,615.6,183.3,421.2,523.9,156
2020-01-01T12:00,4,42,-7.9,-3.2,0,0,0,0,4.7,4.2,6,11,0.407,0.413,0.416,0.389,0.47,0.16,0,10,50,51,1001.6,1007.9,2,28.2,38.3,281,49.7,282,7.2,-0.6,1670,1,3600,372,73,372,401.7,78.8,592.9,831.7,322.9,549.1,770.2,299
2020-01-01T13:00,4.1,41,-7.9,-2.9,0,0,0,0,5,4.3,6,11,0.407,0.413,0.416,0.389,0.48,0.15,0,90,100,100,1000.9,1007.2,3,26.8,36.5,282,49.7,283,7.3,-0.6,1735,1,3600,310,133,310,315.5,135.4,626.1,414.3,180.2,615.1,407.1,177
2020-01-01T14:00,4.1,41,-7.8,-2.8,0,0,0,0,5.2,4.4,6,11,0.406,0.412,0.416,0.389,0.48,0.14,0,30,72,73,1000.4,1006.7,2,26.1,35.6,285,47.2,286,6.5,-0.5,1705,1,1376.03,231,185,231,222.5,178.2,592,102,44.3,614.6,105.9,46
2020-01-01T15:00,4.2,41,-7.9,-2.5,0,0,0,0,5.2,4.5,6,11,0.405,0.412,0.416,0.389,0.49,0.13,0,77,98,98,1000.7,1007,3,25.3,34.5,281,45,281,6,-0.5,1725,1,1918.76,199,151,199,179.1,135.9,493,111.6,43.2,547.8,124,48
2020-01-01T16:00,3.8,44,-7.4,-2.6,0,0,0,0,5,4.6,6,11,0.405,0.412,0.416,0.389,0.45,0.11,0,70,99,99,1001.3,1007.6,3,23.4,34.1,280,43.2,281,5.8,-0.6,1675,1,0,121,106,121,97,85,336,40.6,12,419,50.6,15
2020-01-01T17:00,3.5,46,-7.2,-2.4,0,0,0,0,4.7,4.6,6,11,0.404,0.411,0.416,0.389,0.43,0.09,0,52,84,84,1002.1,1008.4,3,19.8,30.7,272,39.6,275,5.7,-0.8,1470,1,168.12,66,55,66,36.6,30.5,131.4,36.4,6.1,237.2,65.6,11
2020-01-01T18:00,2.9,47,-7.3,-2.8,0,0,0,0,4.2,4.6,6,11,0.404,0.411,0.416,0.389,0.4,0.07,0,37,75,76,1003,1009.3,2,18,30.2,267,33.1,271,6,-1.2,1010,0,0,10,8,10,0,0,0,0,0,56.5,24.1,2
2020-01-01T19:00,1.8,51,-7.1,-3.9,0,0,0,0,3.6,4.6,6,11,0.404,0.41,0.416,0.389,0.34,0.05,0,12,58,58,1003.8,1010.2,2,18.5,32.8,263,31,267,6.2,-1.8,495,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T20:00,0.8,59,-6.3,-4.7,0,0,0,0,4.4,4.2,6,11,0.402,0.409,0.415,0.389,0.27,0.04,0,1,10,7,1005.4,1011.8,0,17.8,31.8,262,31,265,6.1,-2.3,360,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T21:00,0.4,62,-6,-4.7,0,0,0,0,3.4,4.2,6,10.9,0.402,0.409,0.415,0.389,0.24,0.03,0,0,3,3,1005.7,1012.1,0,15.5,28.9,258,29.5,265,6,-2.5,320,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T22:00,-0.2,66,-5.9,-5.1,0,0,0,0,2.7,4.2,6,10.9,0.402,0.408,0.415,0.389,0.21,0.02,0,0,2,2,1006.2,1012.6,0,13.4,27.4,262,25.9,269,5.9,-2.8,280,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01T23:00,-0.7,67,-6.1,-5.3,0,0,0,0,2.1,4.1,6,10.9,0.402,0.408,0.415,0.389,0.19,0.02,0,0,2,2,1006.3,1012.8,0,11.5,26,266,22.3,276,5.5,-3.2,235,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T00:00,-1.5,73,-5.8,-5.6,0,0,0,0,1.5,4,6,10.9,0.401,0.408,0.415,0.389,0.15,0.01,0,0,1,1,1006.5,1013,0,8.8,22,258,19.1,271,5.1,-3.6,190,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T01:00,-1.9,77,-5.4,-6.1,0,0,0,0,1,3.8,6,10.9,0.401,0.408,0.415,0.389,0.12,0.01,0,0,0,0,1006.6,1013.1,0,9.2,22.7,249,15.5,260,5,-3.7,180,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T02:00,-2.3,81,-5.1,-6.3,0,0,0,0,0.6,3.6,6,10.9,0.401,0.407,0.414,0.389,0.1,0,0,0,0,0,1006.8,1013.3,0,8.6,21.8,248,15.5,257,5,-3.8,170,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T03:00,-2.3,81,-5.1,-6.6,0,0,0,0,0.5,3.5,6,10.9,0.401,0.407,0.414,0.389,0.1,0,46,0,0,46,1007.1,1013.6,1,10.2,24.2,247,17.3,252,5.2,-3.8,170,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T04:00,-2.4,82,-5.1,-6.5,0,0,0,0,0.5,3.3,5.9,10.9,0.401,0.407,0.414,0.39,0.09,0,52,0,0,52,1007.1,1013.6,2,9.4,23.6,247,18,251,5.5,-3.8,185,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T05:00,-2.2,80,-5.1,-6.5,0,0,0,0,0.4,3.2,5.9,10.9,0.401,0.407,0.414,0.39,0.1,0,56,0,0,56,1007.4,1013.9,2,10.5,24.8,248,18,253,5.4,-3.7,185,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T06:00,-2,80,-5.1,-6.5,0,0,0,0,0.4,3,5.9,10.9,0.401,0.406,0.414,0.39,0.11,0.01,21,0,0,21,1007.8,1014.3,1,11.4,25.4,246,19.1,252,6,-3.6,170,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T07:00,-2.1,81,-5,-6.5,0,0,0,0,0.3,2.9,5.9,10.9,0.4,0.406,0.414,0.39,0.1,0.01,30,0,0,30,1007.9,1014.4,1,11.1,25.7,245,19.1,252,6.4,-3.6,155,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T08:00,-1.5,80,-4.5,-6,0,0,0,0,0.6,2.7,5.9,10.9,0.403,0.408,0.415,0.39,0.11,0.01,34,0,0,32,1009,1015.5,1,12.4,25.2,248,19.8,253,6.7,-3.1,155,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02T09:00,-1.1,80,-4.1,-5.5,0,0,0,0,0.5,2.6,5.9,10.9,0.403,0.408,0.415,0.39,0.11,0.02,1,0,0,1,1009.1,1015.6,0,12.2,23.8,236,19.8,243,6.5,-2.7,150,1,98.46,15,8,15,34.8,18.5,134.4,94.5,16.2,58,83.5,7
2020-01-02T10:00,0.7,72,-3.7,-3.9,0,0,0,0,0.7,2.5,5.9,10.9,0.403,0.408,0.414,0.39,0.18,0.04,0,0,0,0,1009.5,1015.9,0,13.4,22.8,234,24.1,239,6.2,-1.5,185,1,3600,136,40,136,192,56.5,338.8,798.5,135.5,240,565.7,96
2020-01-02T11:00,3,64,-3.1,-1.5,0,0,0,0,1.9,2.5,5.9,10.9,0.402,0.408,0.414,0.39,0.27,0.09,0,0,0,0,1009.6,1016,0,13.2,18.1,223,24.8,227,6.3,0,255,1,3600,277,56,277,325.6,65.8,495.7,871.3,259.8,421.7,741.3,221
